epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,274.726,1.10346,0.86601,0.80597,0.90642,0.91962,0.96449,0.70327,0.9682,0.69241,0.79083,0.000424187,0.000424187,0.000424187
43,281.019,1.129,0.87671,0.80685,0.93832,0.91971,0.96632,0.70561,0.9888,0.70891,0.79048,0.000417119,0.000417119,0.000417119
44,287.299,1.11162,0.86801,0.80456,0.92677,0.92711,0.97086,0.69366,1.03172,0.70484,0.79183,0.00041005,0.00041005,0.00041005
45,293.578,1.14296,0.85421,0.80446,0.94241,0.93348,0.97449,0.6912,1.04898,0.69118,0.7913,0.000402982,0.000402982,0.000402982
46,299.833,1.10402,0.84131,0.80409,0.93982,0.92869,0.976,0.67716,1.11137,0.69674,0.7925,0.000395913,0.000395913,0.000395913
47,306.191,1.09132,0.8064,0.80114,0.95844,0.92292,0.97477,0.70297,1.01014,0.66432,0.79121,0.000388844,0.000388844,0.000388844
48,312.478,1.08681,0.80408,0.79892,0.95155,0.94516,0.97942,0.69955,1.02816,0.65294,0.79128,0.000381776,0.000381776,0.000381776
49,318.747,1.10474,0.80009,0.80193,0.96159,0.94625,0.97998,0.68355,1.08658,0.6571,0.79251,0.000374707,0.000374707,0.000374707
50,325.018,1.11388,0.79222,0.80535,0.95838,0.93589,0.97693,0.74756,0.88515,0.61519,0.7877,0.000367639,0.000367639,0.000367639
51,331.356,1.04895,0.74174,0.79699,0.95608,0.93712,0.97682,0.74402,0.89382,0.60939,0.78747,0.00036057,0.00036057,0.00036057
52,337.637,1.0717,0.76277,0.79888,0.95072,0.93997,0.97559,0.74225,0.88998,0.6185,0.78719,0.000353501,0.000353501,0.000353501
53,343.901,1.05908,0.75815,0.79956,0.95853,0.95126,0.97801,0.73915,0.91477,0.60117,0.78775,0.000346433,0.000346433,0.000346433
54,350.393,1.07168,0.77655,0.80615,0.95344,0.9389,0.97775,0.74119,0.89323,0.60317,0.78783,0.000339364,0.000339364,0.000339364
55,356.756,1.0713,0.76511,0.79821,0.94478,0.9556,0.97754,0.73596,0.91999,0.59265,0.78815,0.000332296,0.000332296,0.000332296
56,363.037,1.07382,0.74077,0.80134,0.96029,0.95825,0.98123,0.71047,1.01118,0.59696,0.79031,0.000325227,0.000325227,0.000325227
57,369.279,1.02472,0.7247,0.78881,0.95501,0.95047,0.9774,0.74417,0.87713,0.58376,0.78754,0.000318158,0.000318158,0.000318158
58,375.56,1.07725,0.73553,0.8003,0.96494,0.95735,0.9765,0.7365,0.91464,0.56354,0.78899,0.00031109,0.00031109,0.00031109
59,381.815,1.06182,0.72421,0.80115,0.96756,0.9603,0.97945,0.73365,0.92613,0.57498,0.78814,0.000304021,0.000304021,0.000304021
60,388.116,1.03734,0.71744,0.79658,0.96858,0.95764,0.98027,0.72153,0.98969,0.5771,0.78969,0.000296953,0.000296953,0.000296953
61,394.381,1.01751,0.69561,0.79922,0.9648,0.96064,0.97922,0.74749,0.90144,0.56294,0.78671,0.000289884,0.000289884,0.000289884
62,400.673,1.03487,0.69779,0.79988,0.97627,0.9507,0.98201,0.74428,0.91096,0.57257,0.78754,0.000282815,0.000282815,0.000282815
63,406.975,1.00293,0.6771,0.80106,0.96653,0.96124,0.98424,0.73789,0.93834,0.56856,0.7882,0.000275747,0.000275747,0.000275747
64,413.241,1.01741,0.6793,0.79694,0.96511,0.95696,0.98219,0.72193,0.99006,0.57515,0.78713,0.000268678,0.000268678,0.000268678
65,419.496,1.00345,0.6805,0.79968,0.97283,0.95673,0.98036,0.75575,0.8752,0.54442,0.78628,0.00026161,0.00026161,0.00026161
66,425.821,1.004,0.67363,0.80104,0.96458,0.96595,0.98116,0.75323,0.87446,0.54791,0.7857,0.000254541,0.000254541,0.000254541
67,432.165,1.03747,0.70584,0.8074,0.96949,0.9612,0.98094,0.75882,0.86703,0.53736,0.78656,0.000247472,0.000247472,0.000247472
68,438.593,1.01793,0.67655,0.79699,0.96478,0.97041,0.98191,0.77047,0.82469,0.52702,0.78659,0.000240404,0.000240404,0.000240404
69,444.857,1.02372,0.66885,0.80488,0.97337,0.96071,0.98297,0.74676,0.90329,0.53825,0.78617,0.000233335,0.000233335,0.000233335
70,451.152,1.00381,0.66746,0.79784,0.96492,0.97006,0.98232,0.74077,0.92086,0.5384,0.7864,0.000226267,0.000226267,0.000226267
71,457.399,0.98041,0.64685,0.79669,0.97264,0.9599,0.98187,0.76336,0.83797,0.51724,0.78508,0.000219198,0.000219198,0.000219198
72,463.7,0.99313,0.65658,0.79539,0.97752,0.96574,0.98174,0.74909,0.89047,0.52004,0.78595,0.000212129,0.000212129,0.000212129
73,469.999,0.99148,0.65315,0.80347,0.97184,0.95923,0.98182,0.76499,0.82733,0.51183,0.78414,0.000205061,0.000205061,0.000205061
74,476.254,0.96786,0.64347,0.79577,0.96973,0.97295,0.98299,0.76714,0.81917,0.51004,0.78385,0.000197992,0.000197992,0.000197992
75,482.611,1.04145,0.67956,0.79727,0.97684,0.96772,0.9812,0.75627,0.86198,0.51707,0.78538,0.000190924,0.000190924,0.000190924
76,488.913,1.01229,0.66737,0.79566,0.97204,0.96556,0.98004,0.77204,0.80323,0.513,0.78492,0.000183855,0.000183855,0.000183855
77,495.207,0.97221,0.63368,0.79776,0.97887,0.97176,0.98188,0.75155,0.86865,0.51641,0.7852,0.000176786,0.000176786,0.000176786
78,501.506,0.9845,0.63901,0.7985,0.97136,0.97132,0.98193,0.77201,0.81052,0.50686,0.78385,0.000169718,0.000169718,0.000169718
79,507.789,0.98847,0.64527,0.79922,0.97933,0.96244,0.98213,0.74478,0.90383,0.51771,0.78515,0.000162649,0.000162649,0.000162649
80,514.496,0.9573,0.61954,0.79526,0.97265,0.97328,0.98251,0.78441,0.7619,0.49014,0.78407,0.000155581,0.000155581,0.000155581
